Institute ID,Name,City,State,Score,Rank
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum TechnologyMore Details | |,Amethi,Uttar Pradesh,47.43,80
IR-E-U-0172,National Institute of Technology KurukshetraMore Details | |,Kurukshetra,Haryana,46.79,81
IR-E-U-0493,National Institute of Technology AgartalaMore Details | |,Agratala,Tripura,46.69,82
IR-E-C-36995,Sri Krishna College of Engineering and TechnologyMore Details | |,Coimbatore,Tamil Nadu,46.53,83
IR-E-U-0739,Madan Mohan Malaviya University of TechnologyMore Details | |,Gorakhpur,Uttar Pradesh,46.39,84
IR-E-U-0105,Indraprastha Institute of Information TechnologyMore Details | |,New Delhi,Delhi,46.32,85
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and TechnologyMore Details | |,Chennai,Tamil Nadu,46.23,86
IR-E-U-0516,Indian Institute of Information Technology AllahabadMore Details | |,Prayagraj,Uttar Pradesh,45.84,87
IR-E-U-0017,Jawaharlal Nehru Technological UniversityMore Details | |,Hyderabad,Telangana,45.78,88
IR-E-U-0099,Guru Gobind Singh Indraprastha UniversityMore Details | |,New Delhi,Delhi,45.64,89
IR-E-C-24004,AU College of Engineering (A)More Details | |,Visakhapatnam,Andhra Pradesh,45.6,90
IR-E-U-0043,"Vignan's Foundation for Science, Technology and ResearchMore Details | |",Guntur,Andhra Pradesh,45.43,91
IR-E-U-0190,Shoolini University of Biotechnology and Management SciencesMore Details | |,Solan,Himachal Pradesh,45.4,92
IR-E-U-0217,Christ UniversityMore Details | |,Bengaluru,Karnataka,45.02,93
IR-E-U-0373,Chitkara UniversityMore Details | |,Rajpura,Punjab,44.82,94
IR-E-U-0223,"Jain University, BangaloreMore Details | |",Bengaluru,Karnataka,44.61,95
IR-E-C-30045,"C.V. Raman Global University, OdishaMore Details | |",Bhubaneswar,Odisha,44.55,96
IR-E-U-0621,National Institute of Technology PuducherryMore Details | |,Karaikal,Pondicherry,44.38,97
IR-E-C-19754,SR UniversityMore Details | |,Warangal,Telangana,44.29,98
IR-E-C-1269,R.V. College of EngineeringMore Details | |,Bengaluru,Karnataka,44.26,99
IR-E-C-1297,Siddaganga Institute of TechnologyMore Details | |,Tumkur,Karnataka,43.95,100
